iter	Passed	Remaining
0	145	14358
1	147	7220
2	149	4829
3	151	3633
4	153	2914
5	155	2435
6	157	2092
7	159	1833
8	161	1632
9	163	1470
10	165	1338
11	167	1227
12	169	1133
13	171	1052
14	173	982
15	175	920
16	177	865
17	179	816
18	181	772
19	183	732
20	185	697
21	187	664
22	189	633
23	191	605
24	193	579
25	195	555
26	197	533
27	199	511
28	200	492
29	202	473
30	204	456
31	206	439
32	208	423
33	210	409
34	212	395
35	214	382
36	216	368
37	218	356
38	220	345
39	222	333
40	224	322
41	225	312
42	228	302
43	229	291
44	230	281
45	232	272
46	233	263
47	234	254
48	236	245
49	237	237
50	238	229
51	239	221
52	241	214
53	243	207
54	245	200
55	247	194
56	249	187
57	250	181
58	252	175
59	254	169
60	256	164
61	258	158
62	260	152
63	262	147
64	264	142
65	266	137
66	268	132
67	269	127
68	271	122
69	273	117
70	275	112
71	277	107
72	279	103
73	281	98
74	283	94
75	285	90
76	287	85
77	289	81
78	291	77
79	293	73
80	295	69
81	297	65
82	299	61
83	301	57
84	303	53
85	304	49
86	306	45
87	308	42
88	310	38
89	312	34
90	314	31
91	316	27
92	318	23
93	320	20
94	322	16
95	325	13
96	326	10
97	329	6
98	331	3
99	333	0
